prediction_length,reference_length
17,24
15,19
24,20
18,18
11,10
14,16
8,8
12,17
10,11
16,12
9,8
6,6
9,7
17,15
11,10
19,21
8,13
10,10
17,17
13,12
18,15
8,7
17,25
11,15
5,10
13,20
9,15
8,13
11,16
11,15
3,4
21,19
13,16
10,13
12,9
13,12
10,10
11,15
10,10
5,5
9,6
8,8
5,8
12,15
18,18
14,19
11,10
12,9
11,10
11,11
13,12
19,17
10,10
20,22
10,10
15,21
6,8
10,8
11,7
14,18
10,10
19,12
7,12
9,17
11,13
15,20
8,11
8,8
10,10
11,9
9,9
10,10
20,14
14,19
11,13
9,7
22,24
12,11
12,13
15,25
10,13
13,22
11,10
14,19
11,7
9,10
12,12
8,13
8,10
15,12
10,10
12,14
13,12
14,19
6,6
10,10
18,21
13,13
10,11
10,9
13,14
5,9
10,17
9,9
13,16
11,13
10,6
18,19
15,25
15,9
11,12
4,5
9,8
3,4
16,20
15,14
13,11
10,11
11,11
11,12
18,15
15,12
15,8
15,19
10,10
19,27
10,11
13,15
10,12
15,12
22,30
19,20
7,10
8,9
11,11
8,12
17,14
15,11
8,6
8,10
10,10
19,14
15,17
9,11
11,12
10,10
12,10
18,13
18,30
10,10
12,8
21,14
8,12
17,15
10,7
9,10
17,15
14,18
6,4
2,8
10,8
9,5
9,12
9,11
6,5
8,10
11,8
9,6
9,9
10,8
16,10
17,15
4,3
14,14
19,18
15,10
12,11
9,8
13,12
9,12
12,14
9,8
10,14
15,19
10,15
9,11
14,12
7,11
12,16
13,11
11,15
10,10
13,10
20,25
15,13
16,11
19,19
4,4
11,12
15,21
10,13
7,10
8,10
13,13
12,4
14,19
13,17
21,26
4,4
11,8
10,14
7,8
11,13
10,7
15,15
10,13
7,8
4,4
9,7
10,10
10,10
10,11
12,8
8,13
15,16
15,16
6,8
21,26
10,10
9,7
20,8
12,10
20,20
8,9
18,21
17,14
13,13
4,7
14,18
17,23
10,10
15,18
10,7
10,10
17,11
7,8
16,19
21,22
18,24
10,10
16,9
10,16
27,21
15,11
12,11
16,22
8,6
10,10
20,23
21,16
15,9
17,17
19,20
9,13
15,16
18,19
13,7
9,10
6,8
11,15
18,18
4,5
11,13
17,15
9,9
18,15
10,8
16,25
13,9
10,19
11,13
10,10
17,15
12,13
7,9
10,15
11,15
18,19
10,10
10,15
13,17
12,15
11,16
8,18
4,4
6,11
10,10
7,7
12,14
11,6
8,11
12,9
11,6
17,13
9,6
13,18
11,14
11,13
15,15
18,16
14,14
12,14
7,6
11,7
7,8
8,6
7,9
14,14
13,16
13,16
10,13
7,6
9,11
12,15
10,10
11,8
4,4
12,2
11,11
18,16
10,10
10,11
12,9
17,22
12,13
10,10
15,14
10,10
12,10
6,6
4,8
20,22
11,12
6,9
11,8
18,12
14,21
11,15
14,15
12,12
4,9
10,10
13,11
13,17
11,7
15,6
10,10
12,12
11,14
18,17
10,13
14,18
15,17
12,13
7,14
13,16
13,15
7,10
13,17
10,10
5,9
7,5
10,10
9,7
11,7
14,14
8,6
10,9
13,15
10,5
10,11
7,12
12,14
18,21
16,19
8,9
10,15
14,14
9,8
16,19
9,8
10,10
20,10
8,8
14,19
14,15
10,14
11,20
17,18
11,9
7,6
12,16
7,5
9,7
12,12
14,14
8,11
8,5
6,6
10,13
15,16
15,14
18,14
12,10
7,8
11,19
18,13
16,13
6,8
10,6
19,18
9,8
13,18
7,7
11,5
8,7
12,13
9,3
12,16
15,12
6,15
10,17
13,10
6,8
8,16
7,8
13,16
17,13
9,7
17,25
6,14
17,17
9,7
10,10
9,9
18,19
11,9
9,4
9,10
9,11
10,10
8,11
6,6
9,8
10,10
8,9
13,15
11,7
11,12
14,18
11,12
7,7
17,22
12,10
22,12
12,15
19,17
6,9
11,12
11,10
11,14
12,13
10,20
6,5
17,21
10,10
10,14
9,12
18,6
12,20
9,6
11,10
10,10
4,4
12,7
8,10
6,5
15,17
7,6
16,17
14,19
13,16
8,3
3,5
14,12
14,23
10,10
15,9
7,7
8,10
8,11
12,21
5,5
4,4
7,8
12,16
11,9
16,12
14,10
17,16
10,13
9,7
10,12
10,15
23,21
10,10
12,10
12,16
6,8
7,12
18,19
11,7
16,14
9,11
10,10
13,13
16,17
11,4
12,13
9,10
15,18
13,13
19,23
10,10
8,12
8,15
6,4
16,11
5,9
8,9
11,15
4,4
10,7
14,10
7,6
8,10
11,14
9,10
11,18
10,11
15,16
10,16
8,5
6,5
10,9
14,13
10,10
16,9
8,4
9,6
18,16
9,14
10,14
6,6
7,3
11,9
5,7
10,10
10,11
4,4
13,13
12,19
12,15
9,5
17,6
9,12
13,24
10,10
16,17
8,7
10,9
10,10
14,14
10,10
12,11
17,16
3,9
10,14
9,10
13,15
17,30
13,21
12,10
13,11
18,14
19,23
8,8
9,8
10,14
8,11
4,4
16,19
12,13
14,11
8,6
12,13
7,3
15,20
8,7
18,16
8,9
13,15
12,13
9,13
11,11
10,10
11,11
3,4
14,16
21,23
11,19
15,16
8,6
11,11
12,8
10,10
10,8
11,15
16,12
11,12
10,10
8,11
10,9
10,13
10,10
5,8
7,8
6,7
14,15
7,10
12,16
10,11
